backdoor_accuracy,triggered_anomaly_total,triggered_anomaly_misclassified,features_found,features_missing,round,attack_active,accuracy_drop
0.3614457831325301,83,30,83,0,0,False,0.0
0.3132530120481928,83,26,83,0,1,False,0.0
0.24096385542168675,83,20,83,0,2,False,0.0
0.3614457831325301,83,30,83,0,3,False,0.0
0.3493975903614458,83,29,83,0,4,False,0.0
0.21686746987951808,83,18,83,0,5,False,0.0
0.3855421686746988,83,32,83,0,6,False,0.0
0.42168674698795183,83,35,83,0,7,False,0.0
0.13253012048192772,83,11,83,0,8,False,0.0
0.18072289156626506,83,15,83,0,9,False,0.0
0.1927710843373494,83,16,83,0,10,False,0.0
0.43373493975903615,83,36,83,0,11,False,0.0
0.2891566265060241,83,24,83,0,12,False,0.0
0.37349397590361444,83,31,83,0,13,False,0.0
0.2891566265060241,83,24,83,0,14,False,0.0
0.27710843373493976,83,23,83,0,15,False,0.0
0.4819277108433735,83,40,83,0,16,False,0.0
0.4819277108433735,83,40,83,0,17,False,0.0
0.2289156626506024,83,19,83,0,18,False,0.0
0.3253012048192771,83,27,83,0,19,False,0.0
0.3132530120481928,83,26,83,0,20,False,0.0
0.3253012048192771,83,27,83,0,21,False,0.0
0.27710843373493976,83,23,83,0,22,False,0.0
0.20481927710843373,83,17,83,0,23,False,0.0
0.30120481927710846,83,25,83,0,24,False,0.0
0.1927710843373494,83,16,83,0,25,False,0.0
0.4457831325301205,83,37,83,0,26,False,0.0
0.2289156626506024,83,19,83,0,27,False,0.0
0.25301204819277107,83,21,83,0,28,False,0.0
0.4457831325301205,83,37,83,0,29,False,0.0
0.40963855421686746,83,34,83,0,30,False,0.0
0.30120481927710846,83,25,83,0,31,False,0.0
0.08433734939759036,83,7,83,0,32,False,0.0
0.1686746987951807,83,14,83,0,33,False,0.0
0.3253012048192771,83,27,83,0,34,False,0.0
0.12048192771084337,83,10,83,0,35,False,0.0
0.27710843373493976,83,23,83,0,36,False,0.0
0.10843373493975904,83,9,83,0,37,False,0.0
0.3132530120481928,83,26,83,0,38,False,0.0
0.27710843373493976,83,23,83,0,39,False,0.0
0.12048192771084337,83,10,83,0,40,False,0.0
0.1686746987951807,83,14,83,0,41,False,0.0
0.4457831325301205,83,37,83,0,42,False,0.0
0.20481927710843373,83,17,83,0,43,False,0.0
0.1686746987951807,83,14,83,0,44,False,0.0
0.1686746987951807,83,14,83,0,45,False,0.0
0.27710843373493976,83,23,83,0,46,False,0.0
0.3132530120481928,83,26,83,0,47,False,0.0
0.4939759036144578,83,41,83,0,48,False,0.0
0.3373493975903614,83,28,83,0,49,False,0.0
0.43373493975903615,83,36,83,0,50,True,0.0368421052631579
0.27710843373493976,83,23,83,0,51,False,-0.0052631578947368585
0.3253012048192771,83,27,83,0,52,False,0.007894736842105177
0.46987951807228917,83,39,83,0,53,True,0.06842105263157894
0.4578313253012048,83,38,83,0,54,False,0.06578947368421051
0.43373493975903615,83,36,83,0,55,False,0.05263157894736836
0.3855421686746988,83,32,83,0,56,True,0.042105263157894646
0.5903614457831325,83,49,83,0,57,False,0.09210526315789469
0.3253012048192771,83,27,83,0,58,False,0.021052631578947323
0.27710843373493976,83,23,83,0,59,True,0.007894736842105177
0.3373493975903614,83,28,83,0,60,False,0.018421052631578894
0.25301204819277107,83,21,83,0,61,False,0.0
0.40963855421686746,83,34,83,0,62,True,0.03157894736842104
0.39759036144578314,83,33,83,0,63,False,0.0368421052631579
0.37349397590361444,83,31,83,0,64,False,0.021052631578947323
0.46987951807228917,83,39,83,0,65,True,0.06842105263157894
0.27710843373493976,83,23,83,0,66,False,0.0052631578947367474
0.25301204819277107,83,21,83,0,67,False,0.002631578947368318
0.26506024096385544,83,22,83,0,68,True,-0.0026315789473684292
0.25301204819277107,83,21,83,0,69,False,-0.0026315789473684292
0.1927710843373494,83,16,83,0,70,False,-0.015789473684210575
0.27710843373493976,83,23,83,0,71,True,0.002631578947368318
0.5301204819277109,83,44,83,0,72,False,0.08157894736842097
0.3373493975903614,83,28,83,0,73,False,0.013157894736842035
